,Unnamed: 0,school,team,city,state_province,primary_conference,ncaa,team_page,svg_url
978,978,Russell Sage College,Gators,Albany & Troy,NY,Empire 8,3,/wiki/Florida_Gators,https://upload.wikimedia.org/wikipedia/en/1/14/Florida_Gators_gator_logo.svg
979,979,College of Saint Benedict,Bennies,St. Joseph,MN,Minnesota Intercollegiate Athletic Conference,3,,
980,980,St. Catherine University,Wildcats,St. Paul,MN,Minnesota Intercollegiate Athletic Conference,3,/wiki/Weber_State_Wildcats,https://upload.wikimedia.org/wikipedia/en/f/f2/Weber_State_Wildcats_logo.svg
981,981,Saint Elizabeth University,Screaming Eagles,Convent Station,NJ,United East Conference,3,/wiki/Southern_Indiana_Screaming_Eagles,https://upload.wikimedia.org/wikipedia/en/8/80/University_of_Southern_Indiana_Athletics_Logo.png
982,982,St. John Fisher College,Cardinals,Pittsford,NY,Empire 8,3,/wiki/University_of_the_Incarnate_Word_Cardinals,https://upload.wikimedia.org/wikipedia/en/e/ea/Incarnate_Word_Cardinals_logo.svg
983,983,Saint John's University,Johnnies,Collegeville,MN,Minnesota Intercollegiate Athletic Conference,3,,
984,984,University of Saint Joseph,Blue Jays,West Hartford,CT,Great Northeast Athletic Conference,3,,
985,985,St. Joseph's College (Brooklyn),Bears,Brooklyn,NY,Skyline Conference,3,/wiki/Northern_Colorado_Bears,https://upload.wikimedia.org/wikipedia/en/f/f9/Northern_Colorado_Bears_logo.svg
986,986,St. Joseph's College (Long Island),Golden Eagles,Long Island,NY,Skyline Conference,3,/wiki/Southern_Miss_Golden_Eagles,https://upload.wikimedia.org/wikipedia/en/5/5d/Southern_Miss_Athletics_logo.svg
987,987,Saint Joseph's College of Maine,Monks,Standish,ME,Great Northeast Athletic Conference,3,,
