,URL,Division,Location,School,Logo,Conference,Nickname,Colors
69,https://www.ncaa.com/schools/baruch,Division III,"New York, NY",Baruch College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/baruch.svg,City University of New York Athletic,Bearcats,"Navy Blue, Columbia Blue, White"
70,https://www.ncaa.com/schools/bates,Division III,"Lewiston, ME",Bates College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bates.svg,New England Small College Athletic,Bobcats,Garnet
71,https://www.ncaa.com/schools/bay-path,Division III,"Longmeadow, MA",Bay Path University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bay-path.svg,,,Maroon & White
72,https://www.ncaa.com/schools/baylor,Division I,"Waco, TX",Baylor University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/baylor.svg,Big 12,Bears,Green & Gold
73,https://www.ncaa.com/schools/becker,Division III,"Worcester, MA",Becker College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/becker.svg,New England Collegiate,Hawks,"Royal Blue, White & Black"
74,https://www.ncaa.com/schools/belhaven,Division III,"Jackson, MS",Belhaven University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/belhaven.svg,American Southwest,Blazers,Green and Gold
75,https://www.ncaa.com/schools/bellarmine,Division I,"Louisville, KY",Bellarmine University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bellarmine.svg,ASUN,Knights,Scarlet & Silver
76,https://www.ncaa.com/schools/belmont,Division I,"Nashville, TN",Belmont University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/belmont.svg,Ohio Valley,Bruins,"Navy, Red and White"
77,https://www.ncaa.com/schools/belmont-abbey,Division II,"Belmont, NC",Belmont Abbey College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/belmont-abbey.svg,Carolinas,Crusaders,Red & White
78,https://www.ncaa.com/schools/beloit,Division III,"Beloit, WI",Beloit College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/beloit.svg,Midwest,Buccaneers,Blue & Gold
79,https://www.ncaa.com/schools/bemidji-st,Division II,"Bemidji, MN",Bemidji State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bemidji-st.svg,Northern Sun Intercollegiate,Beavers,Green & White
80,https://www.ncaa.com/schools/benedict,Division II,"Columbia, SC",Benedict College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/benedict.svg,Southern Intercol. Ath. Conf.,Tigers,Purple & Gold
81,https://www.ncaa.com/schools/benedictine-il,Division III,"Lisle, IL",Benedictine University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/benedictine-il.svg,Northern Athletics Collegiate,Eagles,Red & White
82,https://www.ncaa.com/schools/bentley,Division II,"Waltham, MA",Bentley University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bentley.svg,Northeast-10,Falcons,"Blue, Black, Gray"
83,https://www.ncaa.com/schools/berea,Division III,"Berea, KY",Berea College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/berea.svg,USA South,Mountaineers,Blue and white
84,https://www.ncaa.com/schools/berry,Division III,"Mount Berry, GA",Berry College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/berry.svg,Southern Athletic Association,Vikings,Navy and Silver
85,https://www.ncaa.com/schools/bethany-lutheran,Division III,"Mankato, MN",Bethany Lutheran College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bethany-lutheran.svg,Upper Midwest Athletic,Vikings,"Red, white & black"
86,https://www.ncaa.com/schools/bethany-wv,Division III,"Bethany, WV",Bethany College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bethany-wv.svg,Presidents' Athletic,Bison,Green & White
87,https://www.ncaa.com/schools/bethel-mn,Division III,"St. Paul, MN",Bethel University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bethel-mn.svg,Minnesota Intercollegiate Athletic,Royals,Navy Blue & Vegas Gold
88,https://www.ncaa.com/schools/bethune-cookman,Division I,"Daytona Beach, FL",Bethune-Cookman University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/bethune-cookman.svg,Southwestern Athletic Conf.,Wildcats,Maroon & Gold
89,https://www.ncaa.com/schools/binghamton,Division I,"Binghamton, NY",Binghamton University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/binghamton.svg,America East,Bearcats,Green & Black
90,https://www.ncaa.com/schools/biola,Division II,"La Mirada, CA",Biola University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/biola.svg,Pacific West,Eagles,"Red, Black, White"
91,https://www.ncaa.com/schools/birmingham-so,Division III,"Birmingham, AL",Birmingham-Southern College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/birmingham-so.svg,Southern Athletic Association,Panthers,Black & Gold
92,https://www.ncaa.com/schools/black-hills-st,Division II,"Spearfish, SD",Black Hills State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/black-hills-st.svg,Rocky Mountain Athletic,Yellow Jackets,Green & Gold
