,school,team,city,state_province,primary_conference,ncaa,team_page
147,Northwestern State University of Louisiana,Demons,Natchitoches,LA,Southland Conference,1,/wiki/Northwestern_State_Demons_and_Lady_Demons
148,Northwestern University,Wildcats,Evanston,IL,Big Ten Conference,1,/wiki/Weber_State_Wildcats
149,Oakland University,Golden Grizzlies,Rochester,MI,Horizon League,1,/wiki/Oakland_Golden_Grizzlies
150,Oklahoma State University–Stillwater,Cowboys,Stillwater,OK,Big 12 Conference,1,/wiki/Wyoming_Cowboys_and_Cowgirls
151,Old Dominion University,Monarchs,Norfolk,VA,Conference USA,1,/wiki/Old_Dominion_Monarchs_and_Lady_Monarchs
152,Oral Roberts University,Golden Eagles,Tulsa,OK,Summit League,1,/wiki/Southern_Miss_Golden_Eagles
153,Oregon State University,Beavers,Corvallis,OR,Pac-12 Conference,1,/wiki/Oregon_State_Beavers
154,Pepperdine University,Waves,Malibu,CA,West Coast Conference,1,/wiki/Pepperdine_Waves
155,Portland State University,Vikings,Portland,OR,Big Sky Conference,1,/wiki/Portland_State_Vikings
156,Prairie View A&M University,Panthers,Prairie View,TX,Southwestern Athletic Conference,1,/wiki/Milwaukee_Panthers
157,Presbyterian College,Blue Hose,Clinton,SC,Big South Conference,1,/wiki/Presbyterian_Blue_Hose
158,Princeton University,Tigers,Princeton,NJ,Ivy League,1,/wiki/Pacific_Tigers
159,Providence College,Friars,Providence,RI,Big East Conference,1,/wiki/Providence_Friars
160,Purdue University,Boilermakers,West Lafayette,IN,Big Ten Conference,1,/wiki/Purdue_Boilermakers
161,Purdue University Fort Wayne,Mastodons,Fort Wayne,IN,Horizon League,1,/wiki/Purdue_Fort_Wayne_Mastodons
162,Quinnipiac University,Bobcats,Hamden,CT,Metro Atlantic Athletic Conference,1,/wiki/Ohio_Bobcats
163,Radford University,Highlanders,Radford,VA,Big South Conference,1,/wiki/UC_Riverside_Highlanders
164,Rider University,Broncs,Lawrenceville,NJ,Metro Atlantic Athletic Conference,1,/wiki/Rider_Broncs
165,Robert Morris University,Colonials,Moon,PA,Horizon League,1,/wiki/George_Washington_Colonials
166,Rutgers University–New Brunswick,Scarlet Knights,New Brunswick,NJ,Big Ten Conference,1,/wiki/Rutgers_Scarlet_Knights
167,Sacred Heart University,Pioneers,Fairfield,CT,Northeast Conference,1,/wiki/Denver_Pioneers
168,Saint Bonaventure University,Bonnies,Saint Bonaventure,NY,Atlantic 10 Conference,1,/wiki/St._Bonaventure_Bonnies
169,Saint Francis College,Terriers,New York,NY,Northeast Conference,1,/wiki/Wofford_Terriers
170,Saint Francis University,Red Flash,Loretto,PA,Northeast Conference,1,/wiki/Saint_Francis_Red_Flash
171,Saint John's University,Red Storm,New York,NY,Big East Conference,1,/wiki/St._John%27s_Red_Storm
172,Saint Joseph's University,Hawks,Philadelphia,PA,Atlantic 10 Conference,1,/wiki/UMES_Hawks
